LETTER,COUNT_ALL,COUNT_UPPERCASE,PERCENTAGE
A,414,0,0.0
B,92,0,0.0
C,147,0,0.0
D,192,0,0.0
E,518,0,0.0
F,72,0,0.0
G,86,0,0.0
H,89,0,0.0
I,330,0,0.0
J,13,0,0.0
K,43,0,0.0
L,205,0,0.0
M,94,0,0.0
N,372,0,0.0
O,369,0,0.0
P,147,0,0.0
R,288,0,0.0
S,217,0,0.0
T,343,0,0.0
U,63,0,0.0
V,40,0,0.0
W,75,0,0.0
X,33,0,0.0
Y,93,0,0.0
Z,4,0,0.0
Ñ,1,0,0.0
